,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
883,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,M,25,Hands severed,N,Evening,4 m shark
884,Society Islands,Surfing,M,32,"No injury, board bitten",N,15h30,Grey reef shark 
886,Praslin,Swimming or Snorkeling,M,30,FATAL,Y,16h30,"Bull shark, 6'"
893,Eastern Cape Province,Surfing,M,29,Upper left arm & right leg bitten,N,10h00,"White shark, 3m to 4m"
904,KwaZulu-Natal,Scuba diving,M,22,Severe lacerations to hands and  left leg,N,12h00,"Bull shark, 3m female"
905,North Carolina,Playing in the surf,F,10,Ankle bitten,N,Afternoon,"Bull shark, 6'"
912,Florida,Scuba diving,M,28,Lacerations to right calf,N,14h30,"Blacktip shark, 4'"
915,Florida,Wading,M,19,Puncture wound to calf,N,12h00,3' to 4' shark
921,KwaZulu-Natal,Spearfishing,M,28,"Thigh bitten, FATAL",Y,Midday,Zambesi shark
923,North Province,Kite Boarding,M,15,"Thigh bitten, FATAL",Y,11h00," Tiger shark, 2.8m"
929,Western Australia,Washing sand off a speared fish,M,17,Heel bitten,N,15h00,"reef shark, 1.5m"
930,Florida,Surfing ,M,49,Minor puncture wounds,N,15h30,1' to 2' shark
931,South Island,Surfing,M,41,Puncture to left hand,N,Afternoon,possibly a bronze whaler shark
936,New South Wales,Surfing,M,48,Severe injury to left forearm,N,17h45,"Bull shark, 2.5m"
939,New South Wales,Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,13h00,3 m to 4 m shark
942,Queensland,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,10h45,"Bull shark, 2m"
943, Loyalty Islands,Spearfishing,M,21,Lacerations to left forearm,N,Early afternoon,1.5 m shark
945,South Australia,Diving for abalone,M,49,FATAL,Y,18h20,White shark x 2
950,Quintana Roo,Swimming,F,38,"Leg, forearm & hand severely bitten",N,12h00,6' shark
952,West End,Scuba diving,M,55,Arm bitten ,N,15h00,Caribbean reef shark
957,Hawaii,Body boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,15h35,6' shark
960,South Sinai Peninsula,Snorkeling,F,70,FATAL,Y,12h00,"Oceanic whitetip shark, 2.5m "
962,South Sinai Peninsula,Snorkeling,M,54,Both arms severely bitten,N,11h00,Mako shark 
963,South Sinai Peninsula,Snorkeling,M,46,Lacerations to right leg,N,10h55,Mako shark
964,South Sinai Peninsula,Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,14h55,"Oceanic whitetip shark, 2.5m, female"
965,South Sinai Peninsula,Snorkeling,F,48,Foot and arm bitten,N,14h40,"Oceanic whitetip shark, 2.5m, female"
972,Western Australia,Snorkeling,F,20,Torso and left buttock bitten,N,12h30,White shark
976,Maine,Scuba diving,M,30,"No injury to diver, shark bit his video camera",N,Afternoon,"Porbeagle shark, 8' "
978,California,Body boarding,M,19,FATAL,Y,08h50,"White shark, 14' to 18' "
980,New South Wales,Surfing,M,22,Foot bitten,N,13h30,"Bull shark, 1.4m "
984,Oregon,Surfing,M,29,"No injury, surfboard rammed",N,16h00,White shark
987,New South Wales,Surfing,M,15,Lacerations and puncture wounds to leg and foot,N,17h00,2m shark
996,Western Australia,Surfing,M,31,FATAL,Y,08h05,White shark
1005,Florida,Standing,F,37,Lacerations to forearm,N,11h00,3' to 4' shark
1008,South Carolina,Swimming,M,10,Minor lacerations to left calf,N,10h35,Possibly a small blacktip shark
1009,North Carolina,Swimming,F,13,Lacerations to right forearm,N,13h30,"Sandtiger shark, 4' to 5'"
1011,Grand Canary Island,Swimming,M,9,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,19h15,Angel shark
1015,New York,Fishing,M,20,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,12h30,"Blue shark, 7'"
1016,California,Surfing,M,19,Laceration to left foot,N,Evening,4' shark
1017,California,Stand-Up Paddleboarding,M,48,"No injury, board bumped by shark",N,15h15,8' shark
1021,Binh Dinh Province,Swimming,M,17,Laceration to left foot,N,17h00,1 m shark
1022,Florida,Boogie Boarding,F,18,Lacerations to left calf and foot,N,12h30,4' shark
1025,Florida,Fishing,M,49,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,08h45,"Lemon shark, 4'"
1026,Binh Dinh Province,Rescuing,F,58,Minor laceration to leg,N,18h00,20 to 30kg shark
1027,Binh Dinh Province,Swimming,F,60,Severe lacerations to left foot,N,18h00,20 to 30kg shark
1030,Florida,Wading,F,10,Minor puncture wounds to right ankle,N,10h30,4' shark
1031,Florida,Measuring sharks,M,29,Arm bitten PROVOKED INCIDENT ,N,Afternoon,"Lemon shark, 6'"
1032,Hawaii,Surfing,M,68,"No injury, surfboard bitten",N,16h00,14' shark
1033,Eastern Cape Province,Surfing,M,35,Both feet bitten,N,10h00,2 m shark
1034,Sinai Peninsula,Swimming / treading water,M,24,Lacerations to left ankle and foot,N,14h00,"Oceanic whitetip shark, 6'"
1035,Saint-Benoit,Surfing,M,34,"No injury, board bitten",N,11h00,1.5 m shark
1039,Queensland,Snorkeling,F,60,Lacerations to legs & buttocks,N,13h30,2 m shark
1040,New South Wales,Surfing,M,46,"Minor injury, lacerations to left lower leg",N,08h00,"Wobbegong shark, 1.6m"
1042,New South Wales,Body boarding,M,18,"No injury, shark & board collided",N,15h30,"White shark, 2.5m"
1046,South Island,Boogie Boarding,F,14,Stepped on shark PROVOKED INCIDENT,N,18h30,1.5 m shark
1051,Western Province,Standing,M,37,FATAL,Y,15h15,White shark
1060,Maputo Province,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,16h30,"Zambesi shark, 2m "
1062,Queensland,Spearfishing,M,18,Lacerations to hand & forearm,N,07h30,"Bull shark, 3m"
1068,New Jersey,Diving,M,58,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,13h00,"Sandtiger shark, 8'"
1070,Florida,Wading,M,10,Left foot bitten,N,Morning,6' shark
1071,California,Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,16h45,Thresher shark
1074,Florida,Surfing,M,18,Foot bitten,N,Afternoon,4' shark
1075,South Australia,Kayaking,M,25,Ankle bitten,N,10h30,2 m shark
1077,Victoria,Kayaking,M,27,"No injury, shark bit kayak",N,Morning,"White shark, 4m"
1081,Hawaii,Surfing,M,54,Bitten on upper right thigh & right ankle,N,06h00,6' to 8' shark
1083,Fife,Diving,M,23,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,14h45,Angel shark
1086,Devon,Fishing,M,39,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,12h50,Spurdog
1091,North Carolina,Swimming,M,60,FATAL,Y,21h00,Shark involvement prior to death not confirmed
1096,Western Cape Province,Surfing,M,25,FATAL,Y,15h30,White shark
1097,California,Swimming,F,22,Puncture wounds to left foot & calf,N,16h30,"White shark, 5' to 6' juvenile "
1101,Louisiana,Wade Fishing,M,56,Right ankle & foot bitten,N,10h00,Bull shark?
1115,Florida,Swimming,F,43,Thigh injured by hooked shark PROVOKED INCIDENT,N,15j45,"Nurse shark, 6'"
1116,New South Wales,Surfing,M,52,2-inch laceration to upper left arm,N,08h45,"Thought to involve a Bronze whale shark, 2m"
1122,St. Johns Reef,Snorkeling,F,50,FATAL,Y,Morning,"Oceanic whitetip shark, 2.5 to 3m"
1123,Off Green Island,Fishing,M,46,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,N,20h30,80 kg shark
1125,Florida,Surfing,M,31,Lacerations to left leg & foot,N,09h35,blacktip or spinner shark
1126,Florida,Surfing,M,49,Lacerations to right foot,N,10h27,blacktip or spinner shark
1127,Florida,Surfing,M,55,Lacerations to right hand,N,10h16,blacktip or spinner shark
1128,North Region,Spearfishing,M,27,Speared shark bit his forearm PROVOKED INCIDENT,N,Afternoon,"Blacktip shark, 4'"
1135,Florida,Surfing,M,31,Laceration to forearm,N,13h15,2' to 3' shark
1137,New South Wales,Surf skiing ,M,40,"No injury, catapulted into the water & ski damage",N,08h00,2' to 3' shark
1143,New South Wales,Surfing,M,17,"Laceration to right foot, puncture wounds to calf",N,18h45,Bronze whaler shark?
1146,Florida,Surfing,F,17,Minor bite to ankle,N,17h30,3' to 4' shark
1148,Hawaii,Swimming,M,61,"Minor injury, bite chest and left calf",N,20h00,Thought to involve a cookie cutter shark
1151,Western Cape Province,Fishing,M,40,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N,13h30,"Blue shark, 1m"
1153,New South Wales,Surfing,M,15,Lacerations to leg,N,06h45,2.6 m shark
1156,New South Wales,Surfing,M,33,Severe injury to hand ,N,19h30,"White shark, 2.5m "
1157,New South Wales,"Diving, but on the surface when bitten by the shark",M,31,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,Before 07h00,"Bull shark, 2.7 m "
1159,New South Wales,Surfing,M,41,"No injury, surfboard dented",N,11h00,"White shark, 12' "
1163,Guantanamo Province,Spearfishing,M,15,Severe lacerations to lower left leg,N,10h30,Bull shark
1166,Eastern Cape Province,Swimming,M,25,FATAL,Y,14h00,Tiger shark
1171,New South Wales,Snorkeling,M,24,Puncture wounds to right calf,N,10h45,"Dusky shark, 2m"
1172,Tasmania,Surfing,F,13,Severe lacerations to right leg,N,15h45,"White shark, 5m"
1173,New South Wales,Surfing,M,31,Left thigh severely bitten,N,09h00,"White shark, 3.5m"
1176,North Island,Swimming,M,49,Posterior thigh bitten,N,17h30,Broadnose sevengill shark
1181,New South Wales,Kayaking,M,29,"No injury, shark struck kayak, catapulting him into the water",N,11h00,"White shark, 4m to 5m "
1182,Western Australia,Snorkeling,M,51,FATAL,Y,07h00,4 to 5m white shark
1185,Western Cape Province,Fishing,M,15,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,20h00,"Raggedtooth shark, 2m"
1194,New South Wales,Scuba diving,M,34,Small laceration to head from captive shark,N,17h20,"Grey nurse shark, 3m"
1199," Split-Dalmatia Count,",Spearfishing,M,43,Calf bitten,N,12h00,5 m white shark
1201,Florida,Surfing,M,40,Right foot bitten,N,11h00,+3' shark
1202,Northern Territory,Swimming,M,43,Right hand lacerated by netted shark PROVOKED INCIDENT,N,14h30,Bronze whaler shark
1203,Florida,Swimming,M,32,Lacerations to foot,N,12h00,2' to 3' juvenile shark
1204,Hawaii,Surfing,M,40,Bitten on right thigh & calf,N,16h30,Tiger shark
1206,New South Wales,Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,3 m shark
1209,Florida,Surfing,M,52,Shark bumped right ankle,N,10h00,4' shark
1215,Florida,Surfing,M,26,Lacerations to lower left leg,N,11h00,6' shark
1220,US Virgin Islands,Treading water,F,38,Severe lacerations to left foot,N,Dusk,8' bull shark or Caribbean reef shark
1223,Victoria,Surfing,M,31,"No injury, surfboard leash severed",N,10h30,8' white shark or 7-gill shark
1231,North Carolina,Wading,F,8,Lacerations to dorsum of right foot ,N,13h00,3' to 4' shark
1233,Florida,Wading,M,16,Lacerations to lower left leg,N,13h55,4' shark
1241,Abaco Islands,Spearfishing,M,42,Lacerations to calf,N,11h00,"Bull shark, 6' to 7'"
1242,Western Cape Province,Surf skiing ,M,46,"No injury, ski bitten",N,14h00,"White shark, 2m"
1245,South Carolina,Swimming,M,37,Lacerations to hand,N,11h15,4.5 to 5' shark
1247,California,Kayaking,F,40," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00,"White shark, 15'"
1252,South Carolina,Body surfing,F,15,Foot bitten,N,18h30,5' shark
1253,Pernambuco,Swimming,M,14,"Hand severed, buttocks bitten",N,15h00,Bull shark
1256,Guerro,Surfing,M,49,Lacerations to right forearm and hand,N,Early morning,3 m shark
1259,Western Australia,Swimming,M,37,Severe lacerations to left leg,N,07h30,"White shark, 4m"
1260,North Province,Fishing,M,40,Lower legs bitten,N,14h00,2 small bull sharks
1263,Guerro,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger shark
1264,Florida,Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,11h45,4' shark
1266,North Province,Swimming,M,32,Lacerations to left foot,N,Morning,"Bull shark, 1.8m"
1268,California,Swimming,M,66,FATAL,Y,07h00,"White shark, 12' to 15'"
1274,Florida,Surfing,M,30,Puncture wounds to right foot,N,15h00,1.5' to 2' shark
1278,New South Wales,Body boarding,M,16,FATAL,Y,08h05,Bull shark
1281,Florida,Surfing,M,52,Foot bitten,N,18h50,4' to 5' shark
1283,Florida,Walking out of the water after surfing,M,13,Three small lacerations/ punctures to right foot,N,11h30,2.5' shark
1285,Florida,Jet skiing,M,8,Minor injury,N,Afternoon,Shark involvement not confirmed
1286,California,Surfing,M,27,"No injury to surfer, surfboard bitten by the shark",N,08h00,White shark
1287,Northern Bahamas,Diving,M,49,"Leg bitten, FATAL",Y,10h00,"A bull shark, according to some of the divers on the boat"
1294,Queensland,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,Laceration to left knee PROVOKED INCIDENT,N,07h30,"Mako shark, 90kg"
1302,New South Wales,Surfing,M,31,Severe lacerations to right buttock,N,11h00,2 m shark
1305,Hawaii,Surfing,M,52,"No injury, shark bit surfboard ",N,"""Just before 11h00""",Tiger shark
1310,Western Cape Province,Surfing,M,14,Lacerations to feet,N,17h30,1.5 to 2 m shark
1311,Florida,Surfing,M,21,Cut to right knee,N,11h115,4' to 5' shark
1312,Florida,Surfing,M,42,Lacerations to right leg,N,09h00,5' shark
1313,Eastern Cape Province,Surfing,M,37,Lacerations to thigh,N,08h45,"White shark, 3m to 4m"
1315,Hawaii,Floating,M,32,Lacerations to left lower leg,N,15h30,Tiger shark
1316,New South Wales,Surf-skiing,F,52,small laceration to wrist,N,11h30,"White shark, 2.5m "
1317,Queensland,Spearfishing,M,31,Laceration to calf,N,12h00,Bronze whaler shark
1318,California,Surfing,M,22,4 scratches on left hand,N,20h30,3' to 4' shark
1319,Florida,Surfing,M,16,Severe lacerations to right hand,N,08h10,"Blacktip shark, 5'"
1322,Loyalty Islands,Swimming,F,23,FATAL,Y,Early morning,Tiger shark
1323,Grand Bahama Island,Spearfishing,F,48,Thigh bitten,N,12h00,Caribbean reef shark
1325,Red Sea,Swimming,F,18 or 20,"Severe lacerations to lower left leg, ankle and foot",N,07h00,Oceanic whitetip sharks were in the vicinity
1328,Florida,Surfing,M,23,Small lacerations to bottom of right big toe,N,18h20,3' shark
1331,Florida,Surfing,F,Teen,"No injury, surfboard bitten",N,Early morning,9.5' shark?
1332,Florida,Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,16h00,"Nurse shark, 2' to 3' "
1336,Florida,Jumping,F,12,Tiny punctures to arm,N,Morning,"18"" to 24"" shark"
1337,Florida,Swimming,M,58,"3"" laceration to left forearm",N,09h45,Possibly a spinner shark
1338,Hawaii,Body boarding,M,15,Laceration to right heel,N,16h30,"Tiger shark, 10' to 12' "
1339,California,Surfing,M,24,Lacerations to thigh & torso,N,10h45,"White shark, 12'"
1340,Florida,Surfing,M,54,Left hand  bitten,N,14h00,3' shark
1341,Florida,Surfing,M,27, 6 lacerations to left hand,N,Morning,3' shark
1345,Florida,Surfing,M,16,Foot bitten,N,12h39,4' to 5' shark
1347,Florida,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Night,Possibly a 6' bull shark
1348,Florida,Swimming,F,15,"Minor injury, small lacerations to right foot",N,17h35, 
1352,Florida,Jumped into the water,F,19,Lacerations to arm,N,Afternoon,Possibly a 10' bull shark
1357,Hawaii,Snorkeling,M,36,Left calf severely bitten,N,15h15, 
1358,Territory of Cocos (Keeling) Islands,Wading,M,15,Calf bitten,N,11h00,"Bronze whaler shark, 1.5 m "
1359,North Carolina,Swimming,M,14,Right calf bitten,N,12h30,2' to 3' shark
1362,North Carolina,Wading,F,30,Lacerations to right thigh & left foot,N,13h00,5' shark
1363,Abaco Islands,Spearfishing,F,48,"Lacerations to thumb, ring and pinky fingers of right hand ",N,11h00,"Bull shark, 5' "
1369,Florida,Surfing,M,20,6 to 8 puncture wounds to right hand,N,17h30,4' shark
1375,Virginia,Reviving a sedated shark,F,40,Left shin bitten by captive shark PROVOKED INCIDENT,N,Morning,A 10-year-old 94-pound pregnant blacktip reef shark
1376,Kent,Fishing,M,38,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N,Afternoon,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length"
1377,Western Australia,Wading,F,38,Left heel & calf bitten,N,14h30,2.5 m shark
1378,Victoria,Surfing,M,19,"No injury, shark's fin caught his leg",N,17h45,10' shark
1379,Florida,Surfing,F,21,Knee bitten,N,16h00,4' to 5' shark
1382,Hawaii,Snorkeling,F,63,Right foot bitten,N,08h30,"Tiger shark, 14' "
1383,Florida,Swimming,M,68,Circular bite on left thigh,N,08h30,6' to 8' shark
1386,Queensland,Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,18h00,"""a small shark"""
1387,Florida,Body boarding,M,12,Left foot bitten,N,12h30,blacktip or spinner shark
1388,Florida,Surfing,M,24,Lacerations to left index finger & thumb ,N,17h00,3' to 4' shark
1390,South Province,Surfing,M,26,Left foot bitten,N,16h00,Tiger shark
1392,Florida,Surfing,M,27,Lacerations to right ankle ,N,14h20,3' shark
1395,Florida,Surfing,M,11,Punctures & lacerations to right calf & calf,N,Evening,4' to 5' shark
1396,New South Wales,Surfing,F,42,Lacerations to 3 fingers of left hand ,N,10h00,1.5 m shark
1398,Queensland,Swimming,F,59,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,15h30,2 to 2.5 m shark
1404,North Province,Spearfishing (free diving),M,30,Leg bitten,N,14h00,Tiger shark
1406,New South Wales,Diving,M,41,Head & torso bitten,N,10h30,"White shark, 3m"
1408,Eastern Cape Province,Swimming / Body Surfing,M,24,"Presumed FATAL, body not recovered",Y,Afternoon,Tiger shark
1411,Hawaii,Surfing,M,24,"No injury, shark removed piece of surfboard",N,10h15,"6' to 8' shark, possibly a tiger shark"
1412,Victoria,Surfing,M,25,Left leg bitten,N,20h00,2.5 to 3 m shark
1413,North Island,Surfing,M,10,Foot bitten,N,11h00,2 to 3 m shark
1414,California,Surfing,M,43,"Minor injuries, surfboard bitten",N,11h50,"White shark, 12' to 15' "
1415,KwaZulu-Natal,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"""Evening""","Raggedtooth shark, 150-kg"
1416,Western Australia,Body boarding,M,15,"Right leg severed, left leg lacerated",N,07h30,"White shark, 5m "
1418,Hawaii,Swimming,M,29,Laceration to left thigh & left hand,N,12h30,2 m to 3 m shark
1420,Oregon,Surfing,M,22,"No injury, surfboard bitten",N,Just before sundown,"White shark, 16' "
1424,Florida,Playing soccer in the water,M,18,Lacerations to foot,N,12h00,3' to 3.5' shark
1431,Florida,Swimming,M,55,Minor injury to left hand,N,14h00,Spinner shark
1435,Florida,Standing,M,33,Puncture wounds and cuts to right thigh,N,17h30,3' shark
1446,Western Cape Province,Lifesaving drill,M,24,Foot severed,N,11h00,White shark
1450,Oregon,Surfing,M,41,Minor injury,N,16h00,White shark?
1453,Western Cape Province,Surf-skiing,M,19,"No injury, surf ski bitten",N,16h30,"White shark, 3m to 4m"
1454,Florida,Surfing,M,14,Minor lacerations to right foot,N,13h45, 
1457,South Carolina,Standing,M,49,Left ankle & foot bitten,N,10h00,"Angel shark, 1.2m "
1463,South Carolina,Body boarding,F,14,Foot bitten,N,11h00,5' to 6' spinner or bull shark
1470,Florida,Surfing,F,22,2-inch puncture wounds on right foot,N,13h00,Possibly a 1' to 3' blacktip or spinner shark
1473,Florida,Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,15h30,2' to 3' shark
1474,South Carolina,Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,13h45,3' to 4' shark
1475,South Australia,Surfing,M,40,"No injury, knocked off surfboard",N,11h30,14' white shark
1476,Hawaii,Spearfishing,M,26,"4"" laceration to left forearm",N,13h30,"Tiger shark, 8' to 12'"
1479,Hawaii,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,16h30,"Grey reef shark, 5' to 8' "
1481,Guam,Scuba diving,F,30s,Laceration to leg,N,15h30,"Tiger shark, 10' to 12'"
1484,Queensland,Snorkeling,M,46,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,16h30,"Wobbegong shark, 2 m "
1488,Florida,Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,Afternoon,"Bull shark, 4' to bull shark"
1489,New South Wales,Surfing,M,15,Minor laceration to left foot,N,13h30,"Bronze whaler shark, a  juvenile "
1490,Eastern Cape Province,Body boarding,M,15,Leg bitten,N,17h30,"Raggedtooth shark, 2.5 m to 3 m "
1491,Pernambuco,Swimming,M,35,Left leg bitten,N,Afternoon,Tiger shark
1494,Hawaii,Surfing,F,28,5 puncture wounds in left calf,N,11h30,"Tiger shark, 10'  "
1496,Vitu Levu,Surfing,M,21,Lacerations to right hand,N,18h00,"Tiger shark, 5' "
1497,New South Wales,Surfing,M,15,"No injury, shark nudged surfboard",N,17h00,"Bronze whaler shark, 2 m"
1498,Hawaii,Standing,F,15,Deep laceration to right calf,N,16h30,5' to 7' shark
1503,Eastern Cape Province,Surfing,M,15,2 bite marks on right calf,N,Late afternoon,Raggedtooth shark
1504,Vava'u,Swimming,F,24,Severe bite to right leg FATAL,Y,18h00,Tiger shark
1505,Hawaii,Kayaking,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,Afternoon,12' to 18' shark
1510,Western Australia,Scuba diving,M,52,Lacerations to left elbow,N,11h00,3.5 m white shark
1512,Queensland,Swimming,F,21,FATAL,Y,17h15,Bull shark
1513,Florida,Surfing,M,21,3 puncture wounds in right wrist & hand,N,16h45,4' shark
1515,Oregon,Surfing,M,30,Lacerations to ankle & calf,N,12h00,White shark
1516,Hawaii,Swimming,M,29,Left hand bitten,N,11h45,Tiger shark
1518,Queensland,Spearfishing,M,44,Right forearm & elbow bitten,N,11h00,Whitetip reef shark
1521,Florida,Surfing,M,23,Right thumb & palm lacerated,N,13h00,4' shark
1523,Victoria,Surfing,M,18,"2 lacerations on leg, each 4"" to 5"" long",N,18h00,1.8 m shark
1526,Florida,Surfing,M,30s,Left foot bitten,N,Afternoon,4' shark
1529,Eastern Cape Province,Fishing for sharks,M,32,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,14h00,"Raggedtooth shark, 2.5m "
1530,Florida,Surfing,M,18,Puncture wounds to right foot,N,13h00,6' shark
1532,California,Surfing,M,26,"No injury, board bumped",N,07h15,12' to 14' white shark
1534,Simpson Bay,Standing,M,55,Lower right leg lacerated,N,08h00,2' shark
1535,Western Cape Province,Standing / Surfing,M,20,Right foot bitten,N,Morning,3 m shark
1536,California,Surfing,M,36,No injury,N,11h00,White shark
1537,California,Surfing,F,20,Leg bitten,N,10h30,18' white shark
1539,Hawaii,Surfing,M,22,"No injury, surfboard bitten",N,18h00,"Tiger shark, less than 10'"
1540,East Wall,Scuba diving,F,57,No injury ,N,15h00,Caribbean reef sharks
1543,Western Cape Province,Surf-skiing,M,52,"No injury, shark bit ski",N,15h00,White shark
1545,South Australia,Surfing,M,26,Lacerations to legs,N,12h05,14' to 16' white shark
1546,Western Australia,Surfing,M,44, No injury,N,Morning,Bronze whaler shark
1548,South Carolina,Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30,3' to 4' shark
1551,North Carolina,Wading,F,18,Calf severely lacerated,N,15h20,Bull shark
1552,South Australia,Surfing,M,40,Lacerations to right arm & thigh,N,15h00,4 m [13'] white shark
1555,South Australia,Scuba diving,M,23,FATAL,Y,16h10,White shark
1556,California,Surfing,M,37,Lower right leg lacerated,N,11h00,juvenile white shark
1558,South Carolina,Swimming,M,8,Bitten underneath left arm,N,Morning,Possibly a sandbar shark or small blacktip shark
1561,North Carolina,Surfing,M,16,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11h30,1.8 m [6'] shark
1570,North Carolina,Swimming,M,22,Lacerations of left forearm,N,16h40,[4.5' to 5'] shark
1571,Texas,Holding onto an inflatable boat,F,14,Left foot bitten,N,13h00,[4' to 5']
1573,Florida,Fishing,M,16,"Leg severely bitten, surgically amputated",N,11h30,Bull shark
1574,Florida,Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15,1.8 m [6'] bull shark
1575,Malampa Province,Swimming,F,7,FATAL,Y,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
1578,Florida,Swimming,M,20,Foot bitten,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound"
1582,Western Cape Province,Spearfishing (Free diving),M,22,FATAL,Y,15h45,White shark
1584,Florida,Swimming,M,33,Left foot bitten,N,17h30,"""small shark"""
1586,Eastern Cape Province,Surfing,M,32,Left buttock  & legs lacerated ,N,11h00,Raggedtooth shark
1591,Hawaii,Surfing,M,47,"No injury, board damaged",N,10h30,"Tiger shark, 3 m [10']"
1592,New South Wales,Fishing,M,25,Laceration on left thigh PROVOKED INCIDENT,N,23h00,"Mako shark, 1.5 m [5'] "
1595,New South Wales,Surfing,M,40,"No injury, board bitten",N,06h10,Bronze whaler shark
1601,Western Cape Province,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,09h45,4 m [13'] shark
1604,Western Australia,Snorkeling,M,26,FATAL,Y,14h00,6 m [20'] white shark
1605,New Mexico,Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,"Sandtiger shark, 2.1 m [7'] "
1617,North Island,Fishing from a kayak,M,39,"No injury, kayak bumped repeatedly",N,12h00,White shark
1619,South Australia,Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark 
1620,Queensland,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark
1621,Eastern Cape Province,Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark
1623,Western Cape Province,Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark
1624,California,Surfing,lli,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark
1627,Camaguey Province,Diving,M,40,Left forearm bitten,N,14h00,2.5 m [8.25'] bull shark
1629,Western Cape Province,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark
1630,New South Wales,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] "
1632,Hawaii,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
1633,Eastern Cape Province,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
1634,Conservatória District,Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,Thought to involve a 2.5 m bull or tiger shark
1638,Oregon,Surfing,M,26,Leg bitten,N,09h00,White shark
1641,South Carolina ,Jumping,F,17,Left knee & leg bitten,N,15h40,2.4 m [8'] shark
1643,Pernambuco,Bathing,M,24,Calf bitten & both hands injured,N,13h00,"Tiger shark, 1.5 m "
1645,California,Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark
1646,Florida,Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark
1652,North Carolina,Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 m [6'] shark
